,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
64,@WhiteKeithSweat @mbtmom2000 @ATL_Mark34 Hot damn!!,Tue Oct 16 11:15:55 +0000 2018,941577277,False,False,0,,,,[],"[{'screen_name': 'WhiteKeithSweat', 'name': 'And The Oscar Goes To', 'id': 4107877763, 'id_str': '4107877763', 'indices': [0, 16]}, {'screen_name': 'mbtmom2000', 'name': 'Dawn', 'id': 803315029, 'id_str': '803315029', 'indices': [17, 28]}, {'screen_name': 'ATL_Mark34', 'name': 'X-Marks The Spot', 'id': 1018993276303626241, 'id_str': '1018993276303626241', 'indices': [29, 40]}]",,"Married to @the_silverfox1 Mom to Brett.
#RollTide  Hook Em🤘",80620,2920,,2635,en,31,"Texas, USA",38744,[]
76,"⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
💡I’m so excited about joining the panel @generalassembly  to discuss “How A Modern Workplace Ca… https://t.co/T3JZbmRYMC",Tue Oct 16 11:15:40 +0000 2018,317525423,True,False,0,,,,[],"[{'screen_name': 'generalassembly', 'name': 'C of S Gnl Assembly', 'id': 40238306, 'id_str': '40238306', 'indices': [60, 76]}]",,|Corporate PIVOT'er| Speaker | TV Host |Facilitator | Voiceover | Runner | Part Social Butterfly & Part Go-Getter|,964,435,,413,en,49,"Atlanta, GA",9474,[]
89,"RT @lie2mehemmings: APPRECIATION POST FOR LUKES FRIENDSHIP WITH ATL BECAUSE ITS THE CUTEST AND MOST ICONIC SHIT TO EVER EXIST

LOOK AT THIS…",Tue Oct 16 11:15:37 +0000 2018,1021545426560929793,False,False,20,9.010735039564595e+17,"APPRECIATION POST FOR LUKES FRIENDSHIP WITH ATL BECAUSE ITS THE CUTEST AND MOST ICONIC SHIT TO EVER EXIST

LOOK AT… https://t.co/E5dOdkWXLk",True,[],"[{'screen_name': 'lie2mehemmings', 'name': 'emma🥀', 'id': 901073503956459524, 'id_str': '901073503956459524', 'indices': [3, 18]}]",,queen but uncrowned ♡ { fan account },6544,1211,,1225,en,2,ɹǝuǝʇǝǝʍs,6399,[]
103,"@KatieJaneMarie FDC Young Designer Award 4 young designers, the brief is to design a flamboyant garment. the winner… https://t.co/L6JyckIp69",Tue Oct 16 11:15:30 +0000 2018,1292935933,True,False,0,,,,[],"[{'screen_name': 'KatieJaneMarie', 'name': 'Katie Jane Marie', 'id': 1295208026, 'id_str': '1295208026', 'indices': [0, 15]}]",,The FDC Young Designer Awards for UK Fashion Designers and the FDC Young Designer Show NY for International Designers raising funds for Angelman Syndrome,1999,870,,605,en,155,London,985,[]
118,RT @BarstoolUK: It’s happening people. This is not a drill. Go ahead and book your ticket now to Atlanta. BAMA AINT GOT SHIT https://t.co/4…,Tue Oct 16 11:15:25 +0000 2018,340521184,False,False,92,2411129922.0,It’s happening people. This is not a drill. Go ahead and book your ticket now to Atlanta. BAMA AINT GOT SHIT https://t.co/4A1RDuU7Ws,False,[],"[{'screen_name': 'BarstoolUK', 'name': 'Barstool UK', 'id': 2411129922, 'id_str': '2411129922', 'indices': [3, 14]}]",,Winemaker at Wildside Winery,7572,267,,192,en,1,Lexington KY,444,[]
134,Every Tuesday is BOGO Cake Slice 1/2! Stop in today and enjoy your all time favorite...White Chocolate. It's still… https://t.co/1cn5fA0g77,Tue Oct 16 11:15:19 +0000 2018,84415808,True,False,0,,,,[],[],,We take the cake. Anywhere. In 9 Locations throughout Atlanta including Terminal A in the Atlanta Airport!,952,2216,,670,en,62,"Atlanta, GA",2940,[]
151,"AVAILABLE - 80000 lbs/One Time Only of PET purge - blue green in Atlanta, Ga, USA #plastics
https://t.co/dTZCJPJk6d",Tue Oct 16 11:15:16 +0000 2018,822374346,False,False,0,,,,"[{'text': 'plastics', 'indices': [82, 91]}]",[],,The Plastic Recycling Composite Index promotes trade in the plastic recycling industry and tracks scrap resin price market trends.,0,625,,552,en,8,worldwide,14136,['plastics']
169,"Former Atlanta Fire chief will receive $1.2M settlement over firing 
https://t.co/2KBlGHOBmc via @wsbtv",Tue Oct 16 11:15:09 +0000 2018,552939237,False,False,0,,,,[],"[{'screen_name': 'wsbtv', 'name': 'WSB-TV', 'id': 21094888, 'id_str': '21094888', 'indices': [97, 103]}]",,Reporting the truth and accuracy in media news. I like to re-tweet the news to help inform. Always use common sense & logic.,2764,1040,,2376,en,22,"Tampa Bay, Florida",24300,[]
188,"Man, my people never cease to amaze me. I’m surprised they didn’t find a bunch of cuyes in the bag too.    https://t.co/3a9XBj8k7d",Tue Oct 16 11:15:08 +0000 2018,231642114,False,False,0,,,,[],[],,NJ x PA x OR @acishows | @wrestleprestige,6593,445,,205,en,6,New Jersey,26794,[]
208,RT @teamabrams: It’s a rally! Tune in to the #WeAreGeorgia Atlanta Early Vote Rally on Instagram (@staceyabrams) and on Facebook live: http…,Tue Oct 16 11:15:08 +0000 2018,531092158,False,False,152,8.79771304316072e+17,It’s a rally! Tune in to the #WeAreGeorgia Atlanta Early Vote Rally on Instagram (@staceyabrams) and on Facebook li… https://t.co/K4XwS4m03n,True,"[{'text': 'WeAreGeorgia', 'indices': [45, 58]}]","[{'screen_name': 'teamabrams', 'name': 'Team Abrams - Vote Early TODAY', 'id': 879771304316071938, 'id_str': '879771304316071938', 'indices': [3, 14]}, {'screen_name': 'staceyabrams', 'name': 'Stacey Abrams', 'id': 216065430, 'id_str': '216065430', 'indices': [98, 111]}]",,,1243,209,,596,en,0,"Georgia, USA",392,['WeAreGeorgia']
